Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
29,31,38,Clayey,Cotton,15,92,37,NPK
34,78,67,Clayey,Maize,37,18,38,NPK
23,43,73,Loamy,Cotton,63,37,94,MOP
37,74,47,Red,Rice,97,22,84,MOP
22,50,22,Loamy,Rice,6,18,23,NPK
32,57,75,Loamy,Wheat,61,7,46,MOP
22,83,23,Red,Rice,98,86,83,Compost
25,46,20,Red,Maize,41,9,24,NPK
35,38,57,Loamy,Rice,70,22,18,NPK
24,38,48,Clayey,Wheat,58,94,59,Compost
33,39,46,Sandy,Rice,74,99,79,Compost
24,48,26,Sandy,Maize,95,85,3,DAP
36,76,73,Red,Rice,6,94,49,Urea
35,80,44,Sandy,Wheat,71,77,26,DAP
23,68,37,Sandy,Rice,86,79,3,DAP
34,44,79,Black,Wheat,66,21,84,MOP
22,56,20,Sandy,Rice,91,55,93,Compost
38,35,70,Red,Cotton,2,89,68,Urea
31,86,76,Loamy,Cotton,14,77,89,Urea
27,62,24,Loamy,Sugarcane,26,98,85,Urea
28,44,41,Loamy,Cotton,56,74,23,DAP
33,51,38,Sandy,Sugarcane,56,60,70,Compost
31,48,74,Clayey,Sugarcane,67,53,44,Compost
23,86,28,Sandy,Cotton,0,93,20,NPK
31,64,68,Loamy,Sugarcane,97,61,20,DAP
29,64,71,Red,Maize,30,73,56,Urea
21,43,65,Sandy,Rice,53,3,3,NPK
37,89,26,Sandy,Sugarcane,74,18,99,MOP
27,31,74,Loamy,Cotton,30,68,50,Urea
20,48,26,Loamy,Wheat,96,1,35,NPK
35,83,71,Sandy,Sugarcane,99,91,55,Compost
26,69,44,Black,Sugarcane,26,16,3,NPK
37,46,41,Black,Cotton,71,2,42,MOP
26,64,65,Red,Rice,3,9,1,NPK
28,50,62,Sandy,Wheat,23,72,17,NPK
36,76,45,Black,Maize,13,5,41,NPK
29,39,57,Red,Wheat,56,9,72,MOP
22,49,40,Black,Wheat,29,60,47,Urea
38,61,62,Red,Wheat,56,70,30,DAP
21,88,59,Black,Maize,78,32,24,NPK
38,73,37,Clayey,Sugarcane,59,53,16,DAP
38,41,27,Red,Wheat,92,92,83,Compost
29,82,76,Black,Rice,14,84,47,Urea
29,69,37,Clayey,Wheat,38,57,13,NPK
34,82,22,Red,Maize,98,54,56,Compost
38,45,22,Black,Cotton,75,5,47,MOP
32,56,51,Clayey,Rice,36,5,21,NPK
31,64,42,Loamy,Rice,63,38,20,NPK
25,79,52,Black,Maize,92,91,77,Compost
33,52,78,Sandy,Wheat,12,29,53,NPK
26,89,41,Loamy,Maize,63,24,63,MOP
24,41,54,Loamy,Rice,60,40,51,Compost
28,78,33,Black,Sugarcane,72,97,42,Compost
37,74,40,Black,Wheat,17,56,55,Urea
38,38,51,Red,Rice,78,72,4,DAP
32,67,49,Sandy,Sugarcane,71,61,82,Compost
23,68,47,Sandy,Rice,48,19,17,NPK
34,56,63,Loamy,Cotton,30,33,86,NPK
29,73,74,Black,Sugarcane,52,22,82,MOP
36,74,61,Loamy,Rice,99,52,64,Compost
24,48,28,Black,Cotton,98,67,69,Compost
29,47,42,Loamy,Rice,13,8,79,NPK
23,31,53,Clayey,Rice,53,67,57,Compost
23,33,79,Sandy,Sugarcane,96,56,31,DAP
22,85,76,Red,Wheat,34,84,63,Urea
25,31,28,Black,Rice,51,69,97,Compost
22,60,38,Black,Wheat,41,11,11,NPK
28,61,27,Red,Sugarcane,33,6,58,NPK
25,90,55,Red,Wheat,67,54,49,Compost
40,85,40,Red,Rice,58,64,88,Compost
29,33,65,Sandy,Wheat,92,14,2,NPK
38,30,59,Sandy,Wheat,74,42,87,Compost
22,54,79,Sandy,Rice,42,27,1,NPK
28,62,24,Loamy,Sugarcane,59,15,41,MOP
22,76,59,Clayey,Sugarcane,14,16,6,NPK
20,43,26,Clayey,Rice,65,43,62,Compost
27,56,43,Sandy,Wheat,0,41,83,Urea
33,90,30,Loamy,Sugarcane,61,69,89,Compost
27,77,38,Loamy,Rice,13,43,84,Urea
35,70,37,Sandy,Maize,100,48,0,DAP
29,85,40,Loamy,Sugarcane,89,94,67,Compost
27,71,50,Red,Maize,61,77,97,Compost
39,40,77,Red,Cotton,57,88,98,Compost
34,33,28,Sandy,Rice,84,85,46,Compost
30,89,52,Red,Maize,28,27,64,NPK
21,46,32,Black,Maize,55,57,64,Compost
20,53,63,Red,Rice,67,55,39,DAP
31,51,62,Black,Wheat,52,30,48,MOP
34,70,78,Loamy,Rice,5,5,72,NPK
40,68,36,Loamy,Cotton,73,91,22,DAP
33,86,24,Clayey,Sugarcane,8,55,13,NPK
36,30,45,Loamy,Sugarcane,47,68,32,DAP
27,40,23,Loamy,Sugarcane,67,44,46,Compost
21,61,47,Clayey,Wheat,29,98,60,Urea
34,54,69,Clayey,Rice,24,26,19,NPK
32,33,62,Sandy,Rice,22,79,35,NPK
21,64,53,Loamy,Sugarcane,85,82,96,Compost
36,35,66,Loamy,Cotton,39,23,21,NPK
24,54,75,Black,Sugarcane,78,91,80,Compost
20,82,80,Red,Wheat,62,9,53,MOP
21,82,31,Clayey,Rice,42,66,7,DAP
31,63,38,Sandy,Maize,65,53,80,Compost
33,49,56,Clayey,Maize,64,69,81,Compost
39,63,28,Sandy,Rice,97,23,13,NPK
33,43,62,Clayey,Cotton,45,65,89,Compost
39,67,65,Sandy,Maize,82,87,96,Compost
35,34,62,Red,Sugarcane,30,61,57,Urea
34,39,71,Loamy,Cotton,49,88,99,Compost
33,74,44,Red,Rice,9,22,73,NPK
22,31,60,Clayey,Sugarcane,99,13,18,NPK
35,51,47,Red,Cotton,80,3,49,MOP
30,90,70,Loamy,Cotton,63,19,58,MOP
23,90,20,Red,Wheat,10,98,63,Urea
40,50,80,Clayey,Sugarcane,67,23,19,NPK
36,71,48,Sandy,Maize,92,78,16,DAP
33,38,59,Clayey,Sugarcane,89,60,44,Compost
39,77,73,Red,Maize,29,48,85,Urea
35,40,35,Sandy,Maize,99,34,72,MOP
25,63,34,Red,Maize,91,97,29,DAP
28,80,20,Clayey,Cotton,81,92,71,Compost
33,39,33,Sandy,Sugarcane,89,12,95,MOP
25,87,43,Red,Maize,23,67,80,Urea
37,83,62,Sandy,Cotton,0,87,90,Urea
35,55,52,Clayey,Wheat,1,86,26,NPK
28,36,59,Clayey,Maize,59,54,56,Compost
20,55,58,Sandy,Rice,58,73,29,DAP
40,57,69,Sandy,Rice,50,4,39,NPK
35,57,61,Red,Rice,36,77,6,NPK
20,68,79,Black,Sugarcane,91,81,27,DAP
30,76,47,Red,Sugarcane,100,67,81,Compost
39,86,36,Sandy,Rice,83,42,22,DAP
24,34,55,Clayey,Rice,1,67,32,NPK
26,58,35,Sandy,Maize,46,9,97,MOP
22,36,61,Clayey,Cotton,61,27,14,NPK
35,63,42,Red,Wheat,97,48,0,DAP
31,80,65,Loamy,Rice,58,17,56,MOP
21,53,54,Black,Maize,3,44,96,Urea
30,88,57,Red,Rice,65,67,97,Compost
